title,url,page_views
AUDIO: Supreme Court Oral Arguments On Birth Control Case,http://talkingpointsmemo.com/livewire/supreme-court-audio-hobby-lobby-oral-arguments,167
Chuck Schumer: Nate Silver Is Wrong About Mark Pryor,http://talkingpointsmemo.com/livewire/chuck-schumer-nate-silver-wrong-mark-pryor,941
'SNL' Mocks Obama's Social Media Promotion Of HealthCare.gov (VIDEO),http://talkingpointsmemo.com/livewire/obama-health-care-snl-bieber-video,1053
Lawyer For 2nd Ex-Christie Aide Calls Pro-Christie Report 'Venomous' And 'Sexist',http://talkingpointsmemo.com/livewire/bridget-kelly-report-response,6269
GOP Rep. Who Defended Russia Is Sad Putin Hasn't Thanked Him Yet,http://talkingpointsmemo.com/livewire/rohrabacher-russia-putin,2296
Christie: 'I Don't Know If We'll Ever Know What The Motive Is',http://talkingpointsmemo.com/livewire/christie-scandal-never-know-motive,1417
CNN Wanted To Rent A 777 For Their Missing Plane Coverage,http://talkingpointsmemo.com/livewire/cnn-missing-plane-777,5732
CNN Interrupts 'Reliable Sources' To Break News On Unknown Objects That May Be Trash,http://talkingpointsmemo.com/livewire/cnn-interrupts-missing-plane-trash,1190
Democrat: It's Too Early To Conclude Christie Knew Nothing,http://talkingpointsmemo.com/livewire/john-wisniewski-this-week-report-conclusions,42
Poll: More Young People Aligning Themselves With Democratic Party,http://talkingpointsmemo.com/livewire/gallup-poll-young-people-more-democratic,2166
Bill Clinton Urges Dems To Confront Obamacare Head-On In Midterms,http://talkingpointsmemo.com/livewire/bill-clinton-democrats-must-embrace-obamacare-midterms,1816
Christie Attorney Responds To Kelly Lawyer's Charges That Report Was Sexist,http://talkingpointsmemo.com/livewire/christie-attorney-defends-report-sexist-kelly,1034
Head Of 1 World Trade Center Security Resigns After Breaches,http://talkingpointsmemo.com/livewire/wtc-security-boss-resigns,651
Michael Grimm Fundraises Off 'Anti-Catholic' Bill Maher's Campaign,http://talkingpointsmemo.com/livewire/michael-grimm-fundraises-off-bill-maher,39
Laura Ingraham Wishes Louis CK Would Have Mocked Muslims On 'SNL',http://talkingpointsmemo.com/livewire/laura-ingraham-louis-ck-christian-conservatives-muslim-jokes,1988
Christie Apologizes For 'Occupied Territories' Comment,http://talkingpointsmemo.com/livewire/christie-apology-occupied-territories,1842
Condi Admits White House Role in CIA Interrogation Talks,http://talkingpointsmemo.com/livewire/santorum-pope-social-issues,572
West Virginia Guv Vetoes Dem Legislature's 20-Week Abortion Ban,http://talkingpointsmemo.com/livewire/west-virginia-guv-vetoes-20-week-abortion-ban,2589
"Kerry, Russian Counterpart Meet On Ukraine Crisis",http://talkingpointsmemo.com/livewire/kerry-russia-meeting-ukraine,128
Top GOPer Accuses Admin. Of 'Cooking The Books' On Health Care Sign-Ups,http://talkingpointsmemo.com/livewire/barrasso-obama-health-care-cooking-books,7162
Feinstein Won't Elaborate Much On Spying Allegations Against CIA,http://talkingpointsmemo.com/livewire/feinstein-spying-cia-cnn,127
GOP Senators Call For Special Committee To Investigate Benghazi,http://talkingpointsmemo.com/livewire/graham-mccain-ayotte-special-committee-benghazi,416
Pope Goes To Confession In Public In Break From Tradition (VIDEO),http://talkingpointsmemo.com/livewire/pope-francis-confession-video,1394
Long Lines As Obamacare Enrollment Deadline Fast Approaches (PHOTOS),http://talkingpointsmemo.com/livewire/long-lines-acasurge-obamacare-enrollment,1531
Former Bush Strategist Rips GOPers For 'Kissing The Ring' Of Sheldon Adelson,http://talkingpointsmemo.com/livewire/matthew-dowd-chides-gopers-kissing-the-ring-sheldon-adelson,691
'Daily Show' Has A Field Day With Christie's Self-Exonerating Report (VIDEO),http://talkingpointsmemo.com/livewire/daily-show-mocks-christie-self-exonerating-report,644
Update: HealthCare.gov Back Online,http://talkingpointsmemo.com/livewire/obamacare-website-down-deadline-looms,43
New Analysis: 9.5 Million Uninsured People Covered Under Obamacare,http://talkingpointsmemo.com/livewire/rand-study-obamacare-uninsured,2889
Democrat Wants Christie To Testify Under Oath,http://talkingpointsmemo.com/livewire/loretta-weinberg-meet-the-press-christie-testify,78
